regret: -0.128	regret bound: 46.640	weights: (0.302, 0.698, 0.000)
regret: -0.128	regret bound: 46.781	weights: (0.294, 0.706, 0.000)
regret: -0.126	regret bound: 46.921	weights: (0.294, 0.706, 0.000)
regret: -0.126	regret bound: 47.062	weights: (0.285, 0.715, 0.000)
regret: -0.125	regret bound: 47.202	weights: (0.277, 0.723, 0.000)
regret: -0.125	regret bound: 47.341	weights: (0.296, 0.704, 0.000)
regret: -0.124	regret bound: 47.480	weights: (0.315, 0.685, 0.000)
regret: -0.123	regret bound: 47.619	weights: (0.306, 0.694, 0.000)
regret: -0.122	regret bound: 47.757	weights: (0.306, 0.694, 0.000)
regret: -0.122	regret bound: 47.895	weights: (0.297, 0.703, 0.000)
regret: -0.121	regret bound: 48.032	weights: (0.288, 0.712, 0.000)
regret: -0.120	regret bound: 48.169	weights: (0.280, 0.720, 0.000)
regret: -0.120	regret bound: 48.306	weights: (0.272, 0.728, 0.000)
regret: -0.119	regret bound: 48.442	weights: (0.264, 0.736, 0.000)
regret: -0.118	regret bound: 48.578	weights: (0.257, 0.743, 0.000)
regret: -0.118	regret bound: 48.713	weights: (0.276, 0.724, 0.000)
regret: -0.117	regret bound: 48.849	weights: (0.295, 0.705, 0.000)
regret: -0.116	regret bound: 48.983	weights: (0.287, 0.713, 0.000)
regret: -0.116	regret bound: 49.118	weights: (0.306, 0.694, 0.000)
regret: -0.115	regret bound: 49.252	weights: (0.324, 0.676, 0.000)
regret: -0.114	regret bound: 49.385	weights: (0.315, 0.685, 0.000)
regret: -0.114	regret bound: 49.519	weights: (0.306, 0.694, 0.000)
regret: -0.113	regret bound: 49.652	weights: (0.297, 0.703, 0.000)
regret: -0.113	regret bound: 49.784	weights: (0.289, 0.711, 0.000)
regret: -0.112	regret bound: 49.916	weights: (0.289, 0.711, 0.000)
regret: -0.111	regret bound: 50.048	weights: (0.308, 0.692, 0.000)
regret: -0.111	regret bound: 50.180	weights: (0.326, 0.674, 0.000)
regret: -0.110	regret bound: 50.311	weights: (0.317, 0.683, 0.000)
regret: -0.110	regret bound: 50.442	weights: (0.308, 0.692, 0.000)
regret: -0.109	regret bound: 50.572	weights: (0.299, 0.701, 0.000)
regret: -0.109	regret bound: 50.703	weights: (0.292, 0.708, 0.000)
regret: -0.108	regret bound: 50.832	weights: (0.311, 0.689, 0.000)
regret: -0.107	regret bound: 50.962	weights: (0.302, 0.698, 0.000)
regret: -0.107	regret bound: 51.091	weights: (0.294, 0.706, 0.000)
regret: -0.106	regret bound: 51.220	weights: (0.294, 0.706, 0.000)
